account,entry_collect,entry_collect.OpenLessPreMktLow,entry_collect.SPYGap,entry_collect.SPYLastLessOpen,entry_collect.SPYNetpercChange,entry_collect.VWAPLessLast,entry_collect.breakTime,entry_collect.dayHighLessPreMktLow,entry_collect.gap,entry_collect.highLessOpen,entry_collect.preMktBars,entry_collect.preMktLowLessLast,entry_collect.preMktRange,entry_collect.rvol,entry_collect.spread,entry_collect.vxxRVOL,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
Cloud,,-0.1656022383,0.5732493575,-0.0636965328,0.1747250557,0.0125386103,2017-02-07 09:32:09.212000,0.1019057056,-44.5402413737,0.2675079439,88.0,0.1401245971,2.1018543786,24.812286377,0.0254776412,2.6590185165,0.58,81.2799224854,35.7700004578,-127.0,-1.0,2017-02-07 09:32:09.213700,,0.47,35.1300010681,127.0,1.0,2017-02-07 15:45:00.057700,-127.0,81.2799224854,GM
Cloud,,0.180633481,0.0277744765,-0.1250487499,-0.0309109688,0.0714562502,2017-01-10 09:31:01.410000,0.19452867,-9.212729996,0.013895189,65.0,0.1806328185,1.0560105082,80.8766021729,0.1528437657,3.3591814041,0.55,75.9000263214,6.9800000191,-138.0,-1.0,2017-01-10 09:31:01.411700,,0.51,6.4299998283,138.0,1.0,2017-01-10 15:45:05.769700,-138.0,75.9000263214,EGLT
Cloud,,0.0765207307,0.1648118087,-0.0647481378,0.1572728157,0.0691501886,2016-07-20 09:33:07.321000,0.1324388625,-8.9652719177,0.0559181319,82.0,0.0029425869,0.5356406238,25.0731391907,0.0029437096,3.7101187706,0.13,-0.5799026489,33.5800018311,-29.0,-1.0,2016-07-20 09:33:07.322700,,0.11,33.5999984741,29.0,1.0,2016-07-20 15:45:08.633700,-29.0,-0.5799026489,UGAZ
Cloud,,0.1405691177,0.4630489848,-0.2232602666,0.1341342926,0.137835671,2016-07-20 09:35:46.976000,0.1984502408,-11.3370017992,0.0578811231,89.0,0.0165379144,0.6615015913,155.251556397,0.0165379144,2.6316742897,0.35,45.1000156403,14.7100000381,-82.0,-1.0,2016-07-20 09:35:46.977700,,0.31,14.1599998474,82.0,1.0,2016-07-20 15:45:01.088700,-82.0,45.1000156403,RYI
Cloud,,0.0885953623,-0.0265779327,-0.2392149134,-0.1407325268,0.1076618298,2016-10-28 09:32:00.879000,0.2657894665,-15.2131980103,0.1771941042,81.0,0.1506144816,1.2403536599,73.8391571045,0.0974552364,4.3816666603,0.36,-74.8000335693,17.9400005341,-88.0,-1.0,2016-10-28 09:32:00.880700,,0.32,18.7900009155,88.0,1.0,2016-10-28 09:57:48.760700,-88.0,-74.8000335693,CEMP
Cloud,,0.3224328811,-0.0179121786,-0.1552419181,-0.1360356808,0.2851222894,2016-10-28 09:34:07.093000,0.7045745427,-47.2334881179,0.3821416616,29.0,0.0059676892,0.6926346088,13.0447835922,0.0656810252,3.1823704243,0.33,32.4501800537,80.2200012207,-59.0,-1.0,2016-10-28 09:34:07.094700,,0.22,79.6699981689,59.0,1.0,2016-10-28 15:45:00.380700,-59.0,32.4501800537,EA
Cloud,,0.0667482905,-0.0250290176,-0.2586416689,-0.159496069,0.2191579112,2016-10-28 09:32:04.086000,0.4922606858,-70.1520481388,0.4255123953,72.0,0.0083387622,2.0107492851,9.4059991837,0.0166902554,4.5228977203,0.47,-50.6300506592,85.1900024414,-83.0,-1.0,2016-10-28 09:32:04.087700,,0.31,85.8000030518,83.0,1.0,2016-10-28 09:42:20.201700,-83.0,-50.6300506592,XOM
Cloud,,0.1722168651,-0.0271917726,-0.3172557886,-0.1782655716,0.0435995613,2016-10-28 09:32:10.642000,0.2991164143,-76.363739664,0.1268995492,34.0,0.1994155532,0.9426803899,9.9888744354,0.072516004,4.7500758171,0.51,164.700164795,84.9199981689,-90.0,-1.0,2016-10-28 09:32:10.643700,,0.33,83.0899963379,90.0,1.0,2016-10-28 15:45:00.028700,-90.0,164.700164795,CVS
Cloud,,0.207794377,1.5139434026,0.0742171306,0.5000472069,0.2088675573,2016-10-24 09:32:58.890000,0.4749601937,-53.1900387863,0.2671658167,88.0,0.0148400289,0.7124402905,56.3636245728,0.0296857199,3.0949716568,0.67,-53.280090332,36.3600006104,-148.0,-1.0,2016-10-24 09:32:58.891700,,0.54,36.7200012207,148.0,1.0,2016-10-24 09:34:00.223700,-148.0,-53.280090332,T
Cloud,,0.3678184682,0.3250868901,0.0880439929,0.5128026009,0.175916908,2016-05-10 09:42:12.917000,0.3912960205,-5.9611565626,0.0234775523,88.0,0.0019568981,0.7238977872,16.2678203583,0.0039130498,1.941383481,0.17,-30.809961319,16.8400001526,-39.0,-1.0,2016-05-10 09:42:12.918700,,0.15,17.6299991608,39.0,1.0,2016-05-10 15:45:00.006700,-39.0,-30.809961319,SCTY
Cloud,,-0.0419369125,0.8710463312,0.3040431158,0.5443692207,0.3528235197,2016-05-10 09:35:53.868000,0.8387602479,-21.3843824946,0.8806971604,24.0,0.0104847281,0.5661633173,6.3636350632,0.0524236404,3.3483126163,0.44,-52.0,21.3700008392,-104.0,-1.0,2016-05-10 09:35:53.869700,,0.38,21.8700008392,104.0,1.0,2016-05-10 10:05:41.513700,-104.0,-52.0,RAX
Cloud,,0.3865550237,1.1648858795,0.2481278819,0.6289601326,0.4457649429,2016-10-10 09:39:14.137000,0.9193684018,-52.0621196482,0.532813378,89.0,0.010445602,2.1730518614,22.4946269989,0.0313407913,1.1143294573,0.51,-50.9601745605,50.4099998474,-104.0,-1.0,2016-10-10 09:39:14.138700,,0.38,50.9000015259,104.0,1.0,2016-10-10 09:40:55.921700,-104.0,-50.9601745605,BMY
Cloud,,0.2963005324,0.7866110982,0.335170626,0.7394433022,0.1925139426,2016-10-10 10:11:01.867000,0.3739034693,-11.3387983399,0.0776029369,89.0,0.0063484994,0.5149981279,4.5340361595,0.0070549348,0.6621169448,0.29,-50.4000854492,17.0599994659,-70.0,-1.0,2016-10-10 10:11:01.868700,,0.26,17.7800006866,70.0,1.0,2016-10-10 15:43:15.862700,-70.0,-50.4000854492,TWTR
Cloud,,0.3236807272,3.280971957,1.3977345534,0.7394075394,0.4380943944,2016-10-10 11:01:10.077000,0.7356403123,-39.1953862174,0.4119595852,27.0,0.029426286,2.0597923133,4.4429292679,0.029426286,0.4638559222,1.21,-52.9200897217,13.5399999619,-294.0,-1.0,2016-10-10 11:01:10.078700,,1.09,13.720000267,294.0,1.0,2016-10-10 13:10:34.857700,-294.0,-52.9200897217,VIV
Cloud,,-0.1195834397,-0.4465136191,0.0367959842,-0.4243552685,0.0190655883,2016-07-05 09:32:00.063000,0.1195851942,-21.8405843635,0.2391686339,59.0,0.0183962376,1.7569696475,31.4905834198,0.0229966129,4.1177206039,0.22,62.1000480652,49.8400001526,-45.0,-1.0,2016-07-05 09:32:00.064700,,0.17,48.4599990845,45.0,1.0,2016-07-05 15:45:00.078700,-45.0,62.1000480652,HOG
